nid,title,url,dept_nm_lvl_1,dept_nm_lvl_2,dept_nm_lvl_3,dept_nm_lvl_4,dept_nm_lvl_5,exec_yr,exec_month,expense_budget,expense_execution,category,dept_nm_full,exec_dt,exec_loc,exec_purpose,target_nm,payment_method,exec_amount,bimok
23885982,"2021년 10월 사업소 서울역사박물관 학예연구부 유물관리과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23885982,사업소,서울역사박물관,학예연구부,유물관리과,,2021,10,,,,"서울역사박물관 유물관리과","2021-10-14 14:42","광화문홈플러스(종로구 새문안로 91)","부서운영에 필요한 물품구입(차종류 등)","유물관리과장 강성희 등 10명",카드,175000,부서
23985094,"2021년 10월 사업소 은평병원 약제과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985094,사업소,은평병원,약제과,,,2021,10,,,,"은평병원 약제과","2021-10-12 18:57","파리바게뜨 은평행복(응암로 247)","의료기관 인증 관련 업무협의 다과비용","약제과 직원 등 10명",카드,62800,부서
23985100,"2021년 10월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985100,사업소,서울도서관,정보서비스과,,,2021,10,,,,"서울도서관 정보서비스과","2021-10-28 13:13","옵스 롯데본점(중구 남대문로 81, 지하1층)","부서 전직원 격려 간식비 지급","정보서비스과장 외 50명",카드,182200,부서
23985100,"2021년 10월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985100,사업소,서울도서관,정보서비스과,,,2021,10,,,,"서울도서관 정보서비스과","2021-10-19 13:42","이마트24(서울시청점.중구 무교로 6.103호)","부서 전직원 격려 간식비 지급","정보서비스과장 외 50명",카드,145200,부서
23985100,"2021년 10월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985100,사업소,서울도서관,정보서비스과,,,2021,10,,,,"서울도서관 정보서비스과","2021-10-19 13:16","보들미역(광화문SFC점.중구 세종대로136 서울파이낸스센터)","현업부서 직원 격려 식사비 지급","정보서비스과장 외 2명",카드,39000,부서
23985100,"2021년 10월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985100,사업소,서울도서관,정보서비스과,,,2021,10,,,,"서울도서관 정보서비스과","2021-10-19 12:25","맨인커피(시청점.중구 무교로6. 을지로1가,금세기빌딩 지하1층 28호)","부서 전직원 격려 음료수비 지급","정보서비스과장 외 28명",제로페이,94900,부서
23985100,"2021년 10월 사업소 서울도서관 정보서비스과 업무추진비 - 부서운영",http://opengov.seoul.go.kr/public/23985100,사업소,서울도서관,정보서비스과,,,2021,10,,,,"서울도서관 정보서비스과","2021-10-06 11:54",서울시청본관매점,"부서운영을 위한 다과 구입비 지급","정보서비스과장 외 28명",제로페이,200000,부서
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-29 12:12","신의주 찹쌀순대(서울시 중구 서소문로 128-3)","청렴시책 관련 관계자 간담회","감사위원장 등 4명",제로페이,40000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-29 13:01","참복집(서울시 중구 세종대로 14길 28-6)","자체감사 관련 관계자 간담회","감사담당관 등 3명",제로페이,84000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-27 12:30","창고43시청점(서울시 중구 서소문로 120)","감사위원회 운영 관련 간담회","감사위원장 등 4명",제로페이,95000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-27 13:11","동해일식(서울시 중구 무교로 16)","감사 현안 관련 검토 간담회","감사담당관 등 2명",제로페이,58000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-27 07:21","올래(서울시 중구 덕수궁길9)","행정감사 추진 관계자 격려 식사","감사총괄팀장 등 4명",제로페이,24500,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-26 12:58","ENA스위트호텔(서울시 중구 세종대로11길 36)","청렴시책 관련 관계자 간담회","감사담당관 등 3명",카드,87000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-26 12:46","복성각(서울시 중구 덕수궁길7)","공직기강 확립 관련 관계자 간담회","감사총괄팀장 등 4명",제로페이,100000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-22 20:29","미락식당(서울시 중구 서소문로 115)","자체감사 관련 관계자 간담회","감사위원장 등 4명",제로페이,104000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-22 12:21","잼배옥(서울시 중구 세종대로 9길 68-9)","자체감사 관련 관계자 간담회","감사위원장 등 3명",제로페이,38000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-21 11:54","무교원원대구탕(서울시 중구 세종대로11길 42)","공직기강 확립 관련 관계자 간담회","감사총괄팀장 등 4명",카드,61000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-20 20:21","한국관(서울시 중구 서소문로 115)","국정감사 추진 관계자 격려 식사","감사총괄팀장 등 6명",제로페이,180000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-20 07:08","올래(서울시 중구 덕수궁길9)","국정감사 준비 관계자 간담회","감사총괄팀장 등 13명",제로페이,41000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-19 21:01","비비큐치킨남대문점(서울시 중구 남대문시장4길 42-1)","국정감사 준비 관계자 격려 간식 구입","감사담당관 등 32명",카드,172000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-19 12:39","신의주 찹쌀순대(서울시 중구 서소문로 128-3)","국정감사 관련 간담회","감사총괄팀장 등 3명",제로페이,24000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-19 06:54","올래(서울시 중구 덕수궁길9)","국정감사 준비 관계자 격려 간식 구입","감사총괄팀장 등 10명",제로페이,35000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-18 19:20","무교원원대구탕(서울시 중구 세종대로11길 42)","국정감사 관련 간담회","감사담당관 등 4명",카드,78000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-18 12:53","차이797(서울시 중구 서소문로 120, 지하1층)","국정감사 관련 간담회","감사총괄팀장 등 6명",제로페이,152200,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-18 00:00",,"감사위원회 소속 직원 경조사비 지급",감사위원장,현금,50000,기관
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-15 12:35","대복(서울특별시 중구 세종대로14길 22)","자체감사 관련 관계자 간담회","감사담당관 등 3명",제로페이,81000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-14 20:10","송탄영빈루서소문점(서울시 중구 서소문로 131)","감사위원회 운영 관련 간담회","감사총괄팀장 등 6명",제로페이,190000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-14 20:15","서울삼계탕(서울시 중구 남대문로1길 55)","공직기강 확립 관련 관계자 간담회","감사담당관 등 2명",제로페이,35000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-14 12:14","만족오향족발(서울시 중구 서소문로 134-7)","이해충돌방지법 교육 참석자 간담회","감사총괄팀장 등 3명",제로페이,24500,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-13 20:52","제주성고기마루(서울시 중구 서소문로 115)","청렴시책 관련 관계자 간담회","감사담당관 등 3명",제로페이,82000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-13 12:38","신의주 찹쌀순대(서울시 중구 서소문로 128-3)","감사위원회 운영 관련 간담회","감사총괄팀장 등 4명",제로페이,38000,시책
24030664,"2021년 10월 서울시본청 감사위원회 감사담당관 업무추진비 - 기관운영 시책추진 부서운영",http://opengov.seoul.go.kr/public/24030664,서울시본청,감사위원회,감사담당관,,,2021,10,,,,"감사위원회 감사담당관","2021-10-12 19:54","한국관(서울시 중구 서소문로 115)","공직기강 확립 관련 관계자 간담회","감사담당관 등 3명",제로페이,66000,시책
